ID(a),a.geneSymbol
4222,FGFR3
4223,CACNA1S
4226,RET
4230,KCNB1
4232,KCNB2
4233,ADK
4234,ADM
4235,ADO
4238,NR4A1
4240,GSTP1
4242,REN
4243,ADA
4246,ACE
4249,KCNA2
4250,KCNA1
4251,KCNA4
4252,KCNA3
4253,KCNA6
4254,KCNA5
4256,KCNA7
4257,PLAUR
4264,HYOU1
4266,GSTM1
4268,GSTM3
4274,CACNA1H
4275,CACNA1G
4277,CACNA1F
4281,CACNA1D
4282,CACNA1C
4283,CACNA1B
4284,CACNA1A
4286,PSMB10
4292,PTK2B
4293,SLC30A9
4297,DDIT3
4305,NFKBIA
4309,NFKBIB
4320,ELAVL1
4323,WEE1
4328,RB1
4329,SCNN1B
4331,SCNN1A
4332,SCNN1D
4334,SCNN1G
4335,MYLK
4337,PDGFRB
4338,PDGFRA
4341,CYP2A13
4343,TDO2
4345,ATP2C1
4353,CHRNB1
4355,CHRNB2
4357,CHRNB4
4365,IDO1
4384,ALDH5A1
4391,HTR1F
4392,HTR1E
4393,HTR1D
4395,HTR1B
4396,HTR1A
4403,CD40
4404,CBR1
4408,CST3
4415,CD44
4417,XPO1
4418,CBR3
4422,PARP3
4423,TUBB
4424,PARP2
4425,PARP1
4426,GGPS1
4433,GADD45A
4434,PMAIP1
4438,UGCG
4441,TLR9
4445,TLR4
4466,CSNK1E
4468,ANPEP
4470,CSNK1D
4477,HRAS
4495,CD58
4497,CD55
4499,CD83
4500,IDH1
4504,SLC12A3
4505,SLC12A4
4509,SLC12A1
4517,PLEKHJ1
4527,HIPK4
4535,HIPK3
4564,CBFB
4575,CYP1B1
4586,PRKAB1
4589,ABCB11
4590,PRKAB2
4600,PRKDC
4604,DPYSL2
4609,IDE
4616,MMP13
4619,MMP12
4622,SLC25A4
4624,SLC25A6
4625,PRKCQ
4630,PRKAA1
4654,SLC22A12
4660,SLC22A16
4669,SLC22A11
4673,CYP1A2
4676,AMD1
4683,CYP1A1
4698,PIK3C3
4700,KCNK18
4711,KCNK10
4719,NDUFA13
4720,ADSS2
4724,NDUFA10
4725,NDUFA11
4727,NDUFA12
4732,HTR5A
4734,PTPN12
4740,DYRK1A
4742,HDAC5
4745,HDAC3
4746,HDAC2
4748,HDAC1
4749,CBLB
4750,HTR2C
4751,HTR2B
4752,HTR2A
4753,HDAC9
4756,HDAC6
4758,KAT5
4764,SNAP25
4771,CPT1A
4781,PIK3CA
4784,HTR3A
4794,PIK3CB
4795,PIK3CD
4797,SIK1
4803,PPP1R13L
4807,CDC7
4811,LTC4S
4812,HSP90AB1
4814,SRD5A2
4816,SRD5A1
4827,TACR3
4828,RALBP1
4832,TACR1
4836,HSP90AA1
4846,BRD3
4849,HTRA1
4854,FMO3
4856,FMO1
4859,BRD4
4866,BRAF
4869,PAX8
4872,TERT
4873,FDFT1
4880,CDH3
4883,CDH1
4885,SERPIND1
4886,ALCAM
4893,KCNV1
4894,KCNV2
4895,AXL
4898,SERPINE1
4904,TNK2
4906,TNK1
4911,ADCY1
4913,ADORA1
4914,GRIN1
4916,BAG6
4918,ADCY9
4926,SERPING1
4929,P4HTM
4934,KRT18
4935,KRT19
4940,PDE1A
4942,PDE1B
4945,CLK3
4947,CLK2
4949,PROZ
4950,CLK4
4951,POLA1
4952,POLA2
4954,PROC
4956,RNPEPL1
4963,CCNA2
4966,SERPINA5
4970,SERPINA6
4976,IMPA1
4979,SLC5A8
4982,SLC5A7
4983,SERPINA1
4985,HBEGF
4987,FDPS
4988,JUN
4991,PDE3B
4993,CCNB1
5002,PDE3A
5005,SFN
5006,SERPINB2
5012,CYP19A1
5017,SERPINC1
5018,SDS
5020,PARG
5035,PDE5A
5046,PDE4C
5047,PDE4D
5057,SCD
5058,PDE4A
5060,POLD1
5061,PDE4B
5062,BAX
5072,BAD
5075,SLC31A1
5079,PDE7A
5081,PDE7B
5092,SLC7A11
5096,PDE6G
5097,PDE6H
5102,PDE6C
5103,PDE6D
5107,CCR1
5109,CHRNA9
5110,KCNK9
5112,CHRNA4
5114,CHRNA5
5115,MAP3K5
5116,CHRNA6
5119,CHRNA7
5120,MAP3K7
5125,CHRNA1
5126,CHRNA2
5127,CHRNA3
5131,SGSM3
5136,HBA2
5145,KCNK2
5147,KCNK3
